owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,13575,https://github.com/Comfy-Org/ComfyUI/pull/13575,Add per-user asset isolation,OPEN,2026-04-27T02:12:33Z,2026-04-27T02:26:01Z,2026-04-27T02:26:01Z,0.224444,846,7,287,62,349,1,0,1,1,2,COMMENTED,neutral,COMMENTED,coderabbitai,yes,magicwang1111,,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,13549,https://github.com/Comfy-Org/ComfyUI/pull/13549,chore(api-nodes): add upcoming-deprecation notice to Sora nodes,MERGED,2026-04-24T13:22:21Z,2026-04-24T15:10:25Z,2026-04-24T15:10:25Z,1.801111,265,1,6,2,8,1,0,1,1,2,APPROVED,positive,APPROVED,Kosinkadink,yes,bigcat88,2026-04-24T13:54:11Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,12471,https://github.com/Comfy-Org/ComfyUI/pull/12471,(draft for QA for now) Color correct,CLOSED,2026-02-14T21:12:28Z,2026-02-25T00:53:28Z,2026-02-25T00:53:28Z,243.683333,0,5,373,0,373,0,0,0,0,1,NO_REVIEW,no_review,,,no,jtydhr88,,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,10638,https://github.com/Comfy-Org/ComfyUI/pull/10638,Limit amount of pinned memory on windows to prevent issues.,MERGED,2025-11-04T22:26:46Z,2025-11-04T22:37:55Z,2025-11-04T22:37:55Z,0.185833,0,1,28,4,32,0,0,0,0,1,NO_REVIEW,no_review,,,no,comfyanonymous,2025-11-04T22:37:51Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,9581,https://github.com/Comfy-Org/ComfyUI/pull/9581,Fixes to make controlnet type models work on qwen edit and kontext.,MERGED,2025-08-27T19:22:49Z,2025-08-27T19:26:32Z,2025-08-27T19:26:32Z,0.061944,0,3,8,6,14,0,0,0,0,1,NO_REVIEW,no_review,,,no,comfyanonymous,2025-08-27T19:26:29Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,8877,https://github.com/Comfy-Org/ComfyUI/pull/8877,[V3] StableCascade nodes,MERGED,2025-07-11T19:45:23Z,2025-07-14T18:52:03Z,2025-07-14T18:52:03Z,71.111111,46,2,144,0,144,0,0,0,0,1,NO_REVIEW,no_review,,,no,bigcat88,2025-07-14T07:18:37Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,8818,https://github.com/Comfy-Org/ComfyUI/pull/8818,Fix warning in audio save nodes.,MERGED,2025-07-07T07:15:45Z,2025-07-08T22:16:58Z,2025-07-08T22:16:58Z,39.020278,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,comfyanonymous,2025-07-07T07:16:00Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,8332,https://github.com/Comfy-Org/ComfyUI/pull/8332,fix: custom comfy-api-base works with subpath,MERGED,2025-05-29T17:22:36Z,2025-05-30T21:51:28Z,2025-05-30T21:51:28Z,28.481111,1337,1,3,1,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,BennyKok,2025-05-30T21:51:28Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,8182,https://github.com/Comfy-Org/ComfyUI/pull/8182,Node to add pixel space noise to an image.,MERGED,2025-05-18T08:08:03Z,2025-05-18T08:09:59Z,2025-05-18T08:09:59Z,0.032222,0,1,20,0,20,0,0,0,0,1,NO_REVIEW,no_review,,,no,comfyanonymous,2025-05-18T08:09:56Z,3804,10,95,0.050000
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,1727,https://github.com/Comfy-Org/ComfyUI/pull/1727,Update extra_model_paths.yaml.example with comfy specific example,MERGED,2023-10-12T13:30:45Z,2023-10-13T02:58:16Z,2023-10-13T02:58:16Z,13.458611,140,1,15,0,15,0,0,0,0,1,NO_REVIEW,no_review,,,no,nickteeple,2023-10-13T02:58:15Z,3804,10,95,0.050000
